rank,company,revenues,revenue % change,profits,profits % change,assets,market val,change in rank 1000,employees,change in rank 500,year
1,Walmart,485873.00,0.008,13643.00,-0.072,198825.00,218619.00,-,"2,300,000",-,2017
2,Berkshire Hathaway,223604.00,0.061,24074.00,0,620854.00,411035.00,2,"367,700",2,2017
3,Apple,215639.00,-0.077,45687.00,-0.144,321686.00,753718.00,-,"116,000",-,2017
4,Exxon Mobil,205004.00,-0.167,7840.00,-0.515,330314.00,340056.00,-2,"72,700",-2,2017
5,McKesson,192487.00,0.062,2258.00,0.53,56563.00,31439.00,-,"68,000",-,2017
6,UnitedHealth Group,184840.00,0.177,7017.00,0.207,122810.00,157793.00,-,"230,000",-,2017
7,CVS Health,177526.00,0.158,5317.00,0.015,94462.00,81310.00,-,"204,000",-,2017
8,General Motors,166380.00,0.092,9427.00,-0.027,221690.00,52968.00,-,"225,000",-,2017
9,AT&T,163786.00,0.116,12976.00,-0.028,403821.00,255679.00,1,"268,540",1,2017
10,Ford Motor,151800.00,0.015,4596.00,-0.377,237951.00,46349.00,-1,"201,000",-1,2017
11,AmerisourceBergen,146850.00,0.08,1427.90,-,33656.00,19229.00,1,"18,500",1,2017
12,Amazon.com,135987.00,0.271,2371.00,2.978,83402.00,423031.00,6,"341,400",6,2017
13,General Electric,126661.00,-0.098,8831.00,-,365183.00,259520.00,-2,"295,000",-2,2017
14,Verizon Communications,125980.00,-0.043,13127.00,-0.266,244180.00,198900.00,-1,"160,900",-1,2017
15,Cardinal Health,121546.00,0.185,1427.00,0.174,34122.00,25725.00,6,"37,300",6,2017
16,Costco,118719.00,0.022,2350.00,-0.011,33163.00,73606.00,-1,"172,000",-1,2017
17,Walgreens Boots Alliance,117351.00,0.134,4173.00,-0.011,72688.00,89645.00,2,"300,000",2,2017
18,Kroger,115337.00,0.05,1975.00,-0.031,36505.00,26961.00,-1,"443,000",-1,2017
19,Chevron,107567.00,-0.18,-497.00,-1.108,260078.00,203263.00,-5,"55,200",-5,2017
20,Fannie Mae,107162.00,-0.029,12313.00,0.124,3287968.00,3011.00,-4,"7,000",-4,2017
21,J.P. Morgan Chase,105486.00,0.044,24733.00,0.012,2490972.00,313761.00,2,"243,355",2,2017
22,Express Scripts Holding,100288.00,-0.014,3404.40,0.375,51745.00,39567.00,-,"25,600",-,2017
23,Home Depot,94595.00,0.069,7957.00,0.135,42966.00,176368.00,5,"406,000",5,2017
24,Boeing,94571.00,-0.016,4895.00,-0.054,89997.00,107546.00,-,"150,540",-,2017
25,Wells Fargo,94176.00,0.046,21938.00,-0.042,1930115.00,278516.00,2,"269,100",2,2017
26,Bank of America Corp.,93662.00,0.007,17906.00,0.127,2187702.00,236182.00,-,"208,024",-,2017
27,Alphabet,90272.00,0.204,19478.00,0.191,167497.00,579426.00,9,"72,053",9,2017
28,Microsoft,85320.00,-0.088,16798.00,0.378,193694.00,508935.00,-3,"114,000",-3,2017
29,Anthem,84863.00,0.072,2469.80,-0.035,65083.00,43813.00,4,"53,000",4,2017
30,Citigroup,82386.00,-0.067,14912.00,-0.135,1792077.00,165394.00,-1,"219,000",-1,2017
